#Aegean version 2.0.2-(2018-07-04)
# on dataset: ab6860_J141918.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0040,00)  0.000097  0.001264 14:21:47.42  +39:27:41.73 215.4475636  0.0008505  39.4615910  0.0005723  0.010418  0.001245  0.009715  0.001477 47.54  1.60 38.64  3.39  -78.1   0.5   0000000
(0101,00)  0.000053  0.005418 14:22:14.09  +39:58:10.66 215.5587152  0.0008485  39.9696277  0.0007596  0.043676  0.005064  0.062619  0.008774 54.89  2.57 51.45  3.26  -74.4   1.4   0000000
(0102,00)  0.000053  0.005418 14:22:24.24  +40:00:16.88 215.6009881  0.0013673  40.0046887  0.0012101  0.029492  0.005370  0.031936  0.007683 47.17  4.48 45.22  5.66    7.6   4.2   0000000
(0103,00) -0.000047  0.001251 14:21:47.36  +40:01:40.69 215.4473402  0.0008137  40.0279707  0.0011741  0.009552  0.001096  0.020016  0.002904 75.87  5.12 54.40  3.15   12.9   0.2   0000000
(0104,00) -0.000001  0.001236 14:18:19.55  +40:03:10.95 214.5814567  0.0005934  40.0530420  0.0005401  0.012082  0.001202  0.011918  0.001372 45.04  1.66 43.13  1.92  -79.7   1.6   0000000
(0105,00)  0.000005  0.000668 14:20:30.52  +40:03:26.54 215.1271827  0.0004484  40.0573731  0.0004587  0.008159  0.000652  0.007955  0.000734 44.75  1.42 42.93  1.44    8.3   1.3   0000000
(0106,00) -0.000047  0.001251 14:21:39.90  +40:03:26.32 215.4162518  0.0014242  40.0573122  0.0020194  0.006591  0.001225  0.012088  0.003555 66.47 12.03 54.35  7.54    9.1   1.1   0000000
(0107,00) -0.000001  0.001236 14:18:43.24  +40:03:43.02 214.6801688  0.0011592  40.0619494  0.0020371  0.007299  0.001068  0.018494  0.003803 94.46 10.72 52.84  4.72   15.2   0.2   0000000
(0111,00) -0.000001  0.001236 14:19:07.88  +40:04:31.43 214.7828498  0.0008725  40.0753973  0.0009454  0.008607  0.001193  0.010819  0.001851 51.77  3.94 47.83  3.12   10.6   1.3   0000000
(0113,00) -0.000001  0.001236 14:18:42.16  +40:05:22.80 214.6756723  0.0009838  40.0896659  0.0013568  0.007319  0.001205  0.009861  0.002138 58.12  6.70 45.67  3.72    9.7   0.5   0000000
(0115,00) -0.000047  0.001251 14:21:22.19  +40:08:02.65 215.3424711  0.0007703  40.1340703  0.0004605  0.014708  0.001183  0.017399  0.001800 54.60  1.34 42.68  2.57  -77.3   0.3   0000000
(0115,01) -0.000047  0.001251 14:21:33.08  +40:07:52.29 215.3878403  0.0007701  40.1311908  0.0004609  0.014496  0.001183  0.011075  0.001239 40.27  1.34 37.37  2.58   12.1   0.2   0000000
(0115,02) -0.000047  0.001251 14:21:27.58  +40:08:15.50 215.3649272  0.0007702  40.1376382  0.0004607  0.011772  0.001183  0.013978  0.001651 50.74  1.34 46.09  2.58  -78.7   0.3   0000000
(0115,03) -0.000047  0.001251 14:21:24.74  +40:06:51.19 215.3530699  0.0007703  40.1142202  0.0004606  0.011511  0.001183  0.018815  0.002184 61.17  1.35 52.64  2.59   10.5   0.2   0000000
(0115,04) -0.000047  0.001251 14:21:34.37  +40:06:49.90 215.3931936  0.0007701  40.1138598  0.0004609  0.010391  0.001183  0.008336  0.001160 45.11  1.35 35.03  2.60    9.5   0.2   0000000
(0115,05) -0.000047  0.001251 14:21:28.93  +40:06:16.44 215.3705442  0.0007702  40.1045675  0.0004607  0.008412  0.001183  0.006506  0.001064 45.04  1.37 33.82  2.63    4.5   0.2   0000000
(0115,06) -0.000047  0.001251 14:21:26.71  +40:05:23.68 215.3612772  0.0007702  40.0899125  0.0004607  0.006797  0.001183  0.032491  0.005943 201.89  1.36 46.64  2.60  -81.3   0.8   0000000
(0117,00) -0.000047  0.001251 14:21:45.06  +40:05:52.87 215.4377565  0.0006002  40.0980188  0.0005686  0.009038  0.001253  0.005246  0.000808 33.81  1.43 33.81  1.76   15.5   9.0   0000000
(0118,00) -0.000001  0.001236 14:18:16.36  +40:06:28.56 214.5681490  0.0030460  40.1079346  0.0007457  0.011766  0.001002  0.029980  0.008771 111.50  1.47 45.01 12.59  -78.3   0.2   0000000
